n_constituents,precision,seed,class,fpr,tpr
8,FP32,1,g,0.0025587435201685866,0.030756762455525857
8,FP32,1,g,0.0026591887445126935,0.03194624150480062
8,FP32,1,g,0.0027635770147361573,0.03369413659169467
8,FP32,1,g,0.002872063117797828,0.03538116188651971
8,FP32,1,g,0.002984807916924324,0.03677712328531493
8,FP32,1,g,0.003101978590138097,0.03799275306463003
8,FP32,1,g,0.0032237488781490303,0.03930448279376914
8,FP32,1,g,0.0033502993419772297,0.040483717697067115
8,FP32,1,g,0.0034818176306889667,0.042284338545970544
8,FP32,1,g,0.0036184987596427466,0.043175284434783356
8,FP32,1,g,0.0037605453996581717,0.04510795151884816
8,FP32,1,g,0.003908168177536264,0.04681551181176662
8,FP32,1,g,0.00406158598837698,0.048452649986554554
8,FP32,1,g,0.0042210263201568985,0.04964896839702836
8,FP32,1,g,0.0043867255910484985,0.051605476139199455
8,FP32,1,g,0.00455892949998106,0.05315272743451011
8,FP32,1,g,0.004737893390963144,0.054883891168246116
8,FP32,1,g,0.0049238826317067365,0.056968106969383696
8,FP32,1,g,0.005117173007114605,0.05924415711551035
8,FP32,1,g,0.005318051128214197,0.06131246519422684
8,FP32,1,g,0.005526814857144603,0.0629091159867106
8,FP32,1,g,0.005743773748826581,0.06551319299069172
8,FP32,1,g,0.005969249509970733,0.06711686743897191
8,FP32,1,g,0.0062035764761042686,0.06895955448439074
8,FP32,1,g,0.006447102107323869,0.07137109513950593
8,FP32,1,g,0.006700187503509584,0.07329463638231004
8,FP32,1,g,0.006963207939763883,0.07556425853219755
8,FP32,1,g,0.007236553422869657,0.0775185013429137
8,FP32,1,g,0.007520629269592407,0.07979593689270194
8,FP32,1,g,0.007815856707684091,0.08224202128907297
8,FP32,1,g,0.008122673500479712,0.08441538020030454
8,FP32,1,g,0.008441534596012984,0.08707078909983632
8,FP32,1,g,0.008772912801613356,0.08943334130774709
8,FP32,1,g,0.00911729948498492,0.0917623636341678
8,FP32,1,g,0.009475205302806537,0.09437270742730923
8,FP32,1,g,0.009847160957933775,0.09698615472953286
8,FP32,1,g,0.010233717986325191,0.0998061113568541
8,FP32,1,g,0.010635449574860113,0.10329979285330566
8,FP32,1,g,0.01105295141126021,0.10611108891527218
8,FP32,1,g,0.011486842567375536,0.10954550358020174
8,FP32,1,g,0.011937766417144358,0.1132462813615087
8,FP32,1,g,0.012406391590588319,0.11643425846268239
8,FP32,1,g,0.012893412965257143,0.1202435294227739
8,FP32,1,g,0.013399552696593384,0.12356819532879172
8,FP32,1,g,0.01392556128874462,0.1270874517460161
8,FP32,1,g,0.014472218707411343,0.1306341010145701
8,FP32,1,g,0.015040335536380237,0.13436396071559922
8,FP32,1,g,0.015630754179458157,0.13832013164176743
8,FP32,1,g,0.016244350109588655,0.14265363433138054
8,FP32,1,g,0.016882033167003627,0.14767274554112825
8,FP32,1,g,0.017544748908334597,0.1515617011821475
8,FP32,1,g,0.018233480008684404,0.15590789855512646
8,FP32,1,g,0.018949247718738217,0.16081528296041403
8,FP32,1,g,0.019693113379074218,0.16525397397209818
8,FP32,1,g,0.0204661799939199,0.1700153711565716
8,FP32,1,g,0.021269593866686896,0.17423255110962393
8,FP32,1,g,0.022104546299710218,0.17967741763290287
8,FP32,1,g,0.022972275360711513,0.18641161661011946
8,FP32,1,g,0.02387406771860647,0.19159764304891774
8,FP32,1,g,0.024811260551377678,0.19735820209739524
8,FP32,1,g,0.025785243528842736,0.20412233476885874
8,FP32,1,g,0.026797460873256896,0.2103664927762125
8,FP32,1,g,0.02784941350080644,0.21763582771914164
8,FP32,1,g,0.02894266124716749,0.2241519776115499
8,FP32,1,g,0.03007882518043099,0.23173290925254283
8,FP32,1,g,0.03125959000482278,0.23804922703004308
8,FP32,1,g,0.032486706558783746,0.24443001173149512
8,FP32,1,g,0.03376199441111337,0.25083907713827
8,FP32,1,g,0.035087344559027116,0.25826746231716946
8,FP32,1,g,0.03646472223212745,0.26571038440450767
8,FP32,1,g,0.03789616980644716,0.27283311643327995
8,FP32,1,g,0.03938380983288489,0.27968938959115985
8,FP32,1,g,0.04092984818452438,0.28723553395233525
8,FP32,1,g,0.04253657732750387,0.2953407916342421
8,FP32,1,g,0.0442063797202853,0.3023514815999721
8,FP32,1,g,0.04594173134636476,0.31031333162144054
8,FP32,1,g,0.047745205385661266,0.31779470378676694
8,FP32,1,g,0.04961947603002903,0.32534939111250694
8,FP32,1,g,0.051567322448549634,0.33356313387827796
8,FP32,1,g,0.05359163290848515,0.34190353671293844
8,FP32,1,g,0.055695409058001306,0.35039860082454927
8,FP32,1,g,0.05788177037701274,0.3591715136857174
8,FP32,1,g,0.06015395880274833,0.36787740219625037
8,FP32,1,g,0.06251534353689711,0.3772027947653937
8,FP32,1,g,0.06496942604146118,0.3868672805225398
8,FP32,1,g,0.06751984523072502,0.3957630434129404
8,FP32,1,g,0.07017038286703822,0.40611576982035086
8,FP32,1,g,0.07292496916841444,0.4157757162270448
8,FP32,1,g,0.07578768863625922,0.4255421438261666
8,FP32,1,g,0.07876278611187056,0.43546553198748095
8,FP32,1,g,0.0818546730706902,0.4456390785260343
8,FP32,1,g,0.08506793416364153,0.45595165855962966
8,FP32,1,g,0.08840733401525062,0.4662817101116309
8,FP32,1,g,0.09187782428863331,0.4778638883930377
8,FP32,1,g,0.09548455102782294,0.4879599403441146
8,FP32,1,g,0.09923286228832545,0.499276182274663
8,FP32,1,g,0.10312831606721848,0.5094716166996195
8,FP32,1,g,0.10717668854455034,0.5210141576510807
8,FP32,1,g,0.11138398264826183,0.531979796615689
8,FP32,1,g,0.11575643695533035,0.5425458607392328
8,FP32,1,g,0.12030053494233242,0.5547078439029166
8,FP32,1,g,0.1250230145991456,0.5652976199951725
8,FP32,1,g,0.12993087842004145,0.5760921429494262
8,FP32,1,g,0.13503140378698722,0.5867170356024146
8,FP32,1,g,0.14033215376054847,0.5976793295196864
8,FP32,1,g,0.14584098829439862,0.6085986048815781
8,FP32,1,g,0.15156607589006013,0.618848773167073
8,FP32,1,g,0.15751590570916213,0.6314085943973667
8,FP32,1,g,0.16369930016117018,0.6425406879802608
8,FP32,1,g,0.17012542798525893,0.6542408897604564
8,FP32,1,g,0.1768038178457205,0.6653969333431933
8,FP32,1,g,0.18374437246107247,0.6767727033323564
8,FP32,1,g,0.19095738328780967,0.687027655050264
8,FP32,1,g,0.19845354578058033,0.6989062677029004
8,FP32,1,g,0.20624397525140925,0.7112508568971619
8,FP32,1,g,0.21434022335148545,0.7229094346567047
8,FP32,1,g,0.22275429519995563,0.7348093720549003
8,FP32,1,g,0.23149866718511608,0.7454392794443172
8,FP32,1,g,0.24058630546440668,0.7568882019244451
8,FP32,1,g,0.25003068519063215,0.7690079484525727
8,FP32,1,g,0.2598458104929247,0.7795010960526793
8,FP32,1,g,0.2700462352420682,0.7902928418397603
8,FP32,1,g,0.28064708463098387,0.8004624522635895
8,FP32,1,g,0.29166407760237006,0.8120477312607868
8,FP32,1,g,0.3031135501567576,0.8220878831079761
8,FP32,1,g,0.3150124795755328,0.8332135292152072
8,FP32,1,g,0.3273785095948577,0.8429206074531654
8,FP32,1,g,0.34022997656780646,0.8522465347147187
8,FP32,1,g,0.35358593665351756,0.8613673246759852
8,FP32,1,g,0.3674661940736688,0.8706112515250238
8,FP32,1,g,0.3818913304781854,0.8803207490972932
8,FP32,1,g,0.3968827354637158,0.8896506692287823
8,FP32,1,g,0.4124626382901348,0.8981734160164099
8,FP32,1,g,0.4286541408420925,0.9064763610544043
8,FP32,1,g,0.4454812518844989,0.914629645302436
8,FP32,1,g,0.46296892266272677,0.9224899910254397
8,FP32,1,g,0.48114308390032545,0.9302702254211788
8,FP32,1,g,0.500030684249109,0.9373326401625203
8,FP32,1,g,0.5196597302486197,0.9438885194298913
8,FP32,1,g,0.5400593278542374,0.9507120758438826
8,FP32,1,g,0.5612597255954966,0.9569122670761407
8,FP32,1,g,0.58329235942862,0.9622375348677662
8,FP32,1,g,0.6061898993497572,0.9671984866284786
8,FP32,1,g,0.6299862978380694,0.9717656869161425
8,FP32,1,g,0.6547168402004729,0.9757495440703705
8,FP32,1,g,0.6804181968927094,0.9798261506796025
8,FP32,1,g,0.7071284778942997,0.9830015540665095
8,FP32,1,g,0.7348872892180388,0.9865531870088617
8,FP32,1,g,0.7637357916378011,0.9893138633886955
8,FP32,1,g,0.7937167617217543,0.9916062650713573
8,FP32,1,g,0.8248746552614581,0.99368873609313
8,FP32,1,g,0.8572556731909324,0.9954976028662256
8,FP32,1,g,0.8909078300934125,0.9968132203648576
8,FP32,1,g,0.9258810253973945,0.9978253467231414
8,FP32,1,g,0.9622271173675134,0.9988081236371632
8,FP32,1,g,1.0,1.0
8,FP32,1,q,1e-05,0.00024721803915352304
8,FP32,1,q,1.039255682936713e-05,0.00025536708583369204
8,FP32,1,q,1.080052374516254e-05,0.0002638360289065742
8,FP32,1,q,1.1224505680853058e-05,0.000272637426123534
8,FP32,1,q,1.1665131316981961e-05,0.0002817843281990434
8,FP32,1,q,1.2123054013376529e-05,0.0002912902981622822
8,FP32,1,q,1.2598952777950285e-05,0.00030116943146840365
8,FP32,1,q,1.3093533273536095e-05,0.00031143637689927926
8,FP32,1,q,1.3607528864243332e-05,0.00032210635828471847
8,FP32,1,q,1.414170170289024e-05,0.00033319519707636504
8,FP32,1,q,1.4696843861124474e-05,0.0003399960009474968
8,FP32,1,q,1.5273778503907123e-05,0.00034478661161451487
8,FP32,1,q,1.5873361110102085e-05,0.0003497652809749509
8,FP32,1,q,1.6496480740980206e-05,0.00035493939140124694
8,FP32,1,q,1.714406135851972e-05,0.0003603166150659172
8,FP32,1,q,1.781706319545729e-05,0.00036590492531784726
8,FP32,1,q,1.851648417912154e-05,0.0003717126085051793
8,FP32,1,q,1.92433614111598e-05,0.00037668819848354825
8,FP32,1,q,1.999877270535287e-05,0.00037773363215303423
8,FP32,1,q,2.078383818579755e-05,0.00037882010503518095
8,FP32,1,q,2.159972194782717e-05,0.00037994922815230855
8,FP32,1,q,2.244763378413224e-05,0.00038112267576851863
8,FP32,1,q,2.3328830978641584e-05,0.00038234218787229355
8,FP32,1,q,2.424462017082331e-05,0.0003836095727565517
8,FP32,1,q,2.5196359293170134e-05,0.000384926709699985
8,FP32,1,q,2.6185459584742327e-05,0.000386295551753654
8,FP32,1,q,2.7213387683753087e-05,0.0003877181286369723
8,FP32,1,q,2.828166780230035e-05,0.0003891965497473752
8,FP32,1,q,2.9391883986468844e-05,0.000390733007288135
8,FP32,1,q,3.054568246515432e-05,0.00039232977951896063
8,FP32,1,q,3.174477409109193e-05,0.0003939892341342017
8,FP32,1,q,3.2990936877709426e-05,0.00039571383177366656
8,FP32,1,q,3.428601863556583e-05,0.00046192290206572157
8,FP32,1,q,3.563193971228584e-05,0.0005625063139475348
8,FP32,1,q,3.703069584005141e-05,0.000667038196354873
8,FP32,1,q,3.848436109487433e-05,0.0007605260936353184
8,FP32,1,q,3.999509097203661e-05,0.0007981593962375496
8,FP32,1,q,4.156512558225988e-05,0.0008372700198345975
8,FP32,1,q,4.319679297334174e-05,0.0008779159576710281
8,FP32,1,q,4.489251258218608e-05,0.0009201574795558309
8,FP32,1,q,4.665479882234468e-05,0.0009640572212305055
8,FP32,1,q,4.848626481239078e-05,0.0009970446238673958
8,FP32,1,q,5.0389626250651503e-05,0.001012849297279524
8,FP32,1,q,5.2367705442046556e-05,0.0010292743939400372
8,FP32,1,q,5.442343548300272e-05,0.0010703268688698308
8,FP32,1,q,5.655986461065002e-05,0.001114676780494444
8,FP32,1,q,5.878016072274912e-05,0.0011356963746643233
8,FP32,1,q,6.10876160750504e-05,0.0011452764201362738
8,FP32,1,q,6.34856521630521e-05,0.0011612219889446237
8,FP32,1,q,6.597782479539533e-05,0.001181915890664531
8,FP32,1,q,6.856782936641738e-05,0.0013270970522564624
8,FP32,1,q,7.12595063356841e-05,0.0015394267803170852
8,FP32,1,q,7.405684692262442e-05,0.0015858476361017414
8,FP32,1,q,7.696399902471151e-05,0.001662591638342209
8,FP32,1,q,7.998527336796708e-05,0.0019510959198848423
8,FP32,1,q,8.312514989890632e-05,0.002085522246291767
8,FP32,1,q,8.638828442740453e-05,0.0021241622419213334
8,FP32,1,q,8.977951553033314e-05,0.0021523215284180775
8,FP32,1,q,9.33038717262036e-05,0.002366901604188059
8,FP32,1,q,9.69665789314552e-05,0.0025425537215000727
8,FP32,1,q,0.00010077306820944618,0.0025583574250626472
8,FP32,1,q,0.00010472898382363586,0.002574781513801499
8,FP32,1,q,0.00010884019160690055,0.0029110637152912496
8,FP32,1,q,0.00011311278765939213,0.003019764945068073
8,FP32,1,q,0.00011755310738783699,0.0032317152087463774
8,FP32,1,q,0.00012216773489967918,0.003396056893794054
8,FP32,1,q,0.0001269635127659973,0.0036310061596862187
8,FP32,1,q,0.0001319475521676706,0.0038288850856776926
8,FP32,1,q,0.00013712724343984008,0.0040525301664753
8,FP32,1,q,0.00014251026703029977,0.004326019165742911
8,FP32,1,q,0.0001481046048880674,0.0044397501019024545
8,FP32,1,q,0.00015391855229902055,0.004488026555453688
